NOM;PRENOM;GROUPE1;GROUPE2;OU;ITINERANT;PASSWORD;LOGIN
PETIT;Poléric;g_atelier;g_stagiaire;atelier;NON;25.Zt4Ls8Hv7;petit.p
RABITCHOV;Sylvie;g_atelier;BLABLA;atelier;NON;26.Qw3Pc9Yv6;rabitchov.s
STREETER;KimAndrew;g_atelier;BLABLA;atelier;NON;27.Jk7Bn2Xr5;streeter.k
CARETZA;Hélène;g_atelier;BLABLA;atelier;NON;28.Rt9Mn4Zt8;caretza.h
COHEN;Mamadou;g_atelier;BLABLA;atelier;NON;29.Hv5Lp3Qm7;cohen.m
MION;Jacynthe;g_atelier;BLABLA;atelier;NON;30.Xy2Jw9Gt6;mion.j
ROJBI;Sadok;g_atelier;BLABLA;atelier;NON;31.Pc8Zr4Ls7;rojbi.s
ZHOU;Qi;g_atelier;BLABLA;atelier;NON;32.Bt6Hv9Qw3;zhou.q
JONOVSKI;Stojche;g_atelier;BLABLA;atelier;NON;33.Jk2Mn7Rt5;jonovski.s
CHOWDHARY;Anil;g_atelier;BLABLA;atelier;NON;34.Qm9Xy6Lp4;chowdhary.a
DOSSANTOS;Maria;g_atelier;BLABLA;atelier;NON;35.Hv7Pc2Zt8;dossantos.m
GRABLOT;Mercédes;g_atelier;BLABLA;atelier;NON;36.Wn3Gt9Jw5;grablot.m
GRIESSI;Giuseppe;g_atelier;BLABLA;atelier;NON;37.Ls8Hv4Qm7;griessi.g
YLDIRME;Unal;g_atelier;BLABLA;atelier;NON;38.Zr2Xy5Pc9;yldirme.u
SUMMERS;Buffy;g_atelier;BLABLA;atelier;NON;39.Jk6Mn3Rt8;summers.b
HARRIS;Xander;g_atelier;BLABLA;atelier;NON;40.Qw9Hv7Lp2;harris.x
ROSENBERG;Willow;g_atelier;BLABLA;atelier;NON;41.Bt4Zt8Jw6;rosenberg.w
GILES;Giles;g_atelier;g_stagiaire;atelier;NON;42.Pc7Xr5Hv9;giles.g
CHASE;Cordelia;g_atelier;BLABLA;atelier;NON;43.Mn2Qm6Ls8;chase.c
SUMMERS;Dawn;g_atelier;BLABLA;atelier;NON;44.Hv9Gt3Jk5;summers.d
MACLAY;Tara;g_atelier;BLABLA;atelier;NON;45.Zt8Lp4Xy7;maclay.t
FINN;Riley;g_atelier;BLABLA;atelier;NON;46.Qw2Hv9Pc6;finn.r
THEBLOODY;William;g_atelier;BLABLA;atelier;NON;47.Jw5Mn7Rt3;thebloody.w
SUMMERS;Joyce;g_atelier;g_stagiaire;atelier;NON;48.Ls9Hv2Qm8;summers.j
WYNDAMPRYCE;Wesley;g_atelier;BLABLA;atelier;NON;49.Bt3Xy6Zr9;wyndampryce.w
GUNN;Charles;g_atelier;BLABLA;atelier;NON;50.Pc5Jk8Hv7;gunn.c
BURKLE;Fred;g_atelier;BLABLA;atelier;NON;51.Mn9Rt2Qw4;burkle.f
MCDONALD;Lindsay;g_atelier;BLABLA;atelier;NON;52.Hv6Lp7Xy3;mcdonald.l
MORGAN;Lilah;g_atelier;BLABLA;atelier;NON;53.Zt9Pc2Jw8;morgan.l
COMPTON;Bill;g_atelier;BLABLA;atelier;NON;54.Qm4Hv7Ls9;compton.b
STACKHOUSE;Sookie;g_atelier;BLABLA;atelier;NON;55.Jk3Mn6Rt2;stackhouse.s
NORTHMAN;Eric;g_atelier;BLABLA;atelier;NON;56.Bt9Xy5Hv8;northman.e
STACKHOUSE;Jason;g_atelier;BLABLA;atelier;NON;57.Pc6Zr7Lp3;stackhouse.j
MERLOTTE;Sam;g_atelier;BLABLA;atelier;NON;58.Hv8Qw9Jk2;merlotte.s
THORNTON;Tara;g_atelier;BLABLA;atelier;NON;59.Mn4Rt7Ls5;thornton.t
BELLEFLEUR;Terry;g_atelier;BLABLA;atelier;NON;60.Xy9Hv2Pc8;bellefleur.t
EDGINGTON;Russel;g_support;BLABLA;Informatique;OUI;61.Zt3Jw6Qm9;edgington.r
FORTENBERRY;Hoyt;g_support;BLABLA;Informatique;OUI;62.Hv5Lp8Mn2;fortenberry.h
BELLEFLEUR;Andy;g_support;BLABLA;Informatique;OUI;63.Bt7Xy9Hv4;bellefleur.a
HAMBY;Jessica;g_support;BLABLA;Informatique;OUI;64.Pc2Zr8Jk7;hamby.j
REYNOLDS;Lafayette;g_admin;g_stagiaire;Informatique;NON;65.Mn6Rt9Hv3;reynolds.l
HERVEAUX;Alcide;g_admin;BLABLA;Informatique;NON;66.Qw8Lp5Xy2;herveaux.a
WINCHESTER;Sam;g_admin;g_direction;Informatique;NON;67.Hv7Pc9Zt4;winchester.s
WINCHESTER;Dean;g_admin;g_direction;Informatique;NON;68.Jw2Mn8Rt5;winchester.d
SINGER;Bobby;g_admin;BLABLA;Informatique;NON;69.Ls3Hv9Qm7;singer.b
HARVELL;Jo;g_developpeur;BLABLA;Informatique;NON;70.Bt8Xy4Pc6;harvell.j
MASTERS;Meg;g_developpeur;BLABLA;Informatique;NON;71.Pc5Jk8Hv7;masters.m
TURNER;Rufus;g_developpeur;g_stagiaire;Informatique;NON;72.Mn9Rt2Qw4;turner.r
TRAN;Kevin;g_developpeur;BLABLA;Informatique;NON;73Hv6Lp7Xy3;tran.k
TALBOT;Bella;g_developpeur;BLABLA;Informatique;NON;74.Zt9Pc2Jw8;talbot.b
BEAUMORT;Tom;g_securite;BLABLA;Informatique;OUI;75.Qm4Hv7Ls9;beaumort.t
CANIBAL;Mathéo;g_securite;BLABLA;Informatique;OUI;76.Jk3Mn6Rt2;canibal.m
